id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del
CO1.BDOS.2942502,LP 005-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE CHIA,Cundinamarca,Chía,Licitación pública Obra Publica,Obra,Seleccionado,758193072,733927252,37,4,Mes(es),2022-06-13T00:00:00.000
CO1.BDOS.2950927,SAMC 09 DE 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,94516794,10,2,Mes(es),2022-06-13T00:00:00.000
CO1.BDOS.2950004,SAMC 005-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE CHIA,Cundinamarca,Chía,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,150000000,144210000,2,2,Mes(es),2022-06-13T00:00:00.000
CO1.BDOS.2930837,LP OBRA PUBLICA-004-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE LA CALERA CUNDINAMARCA,Cundinamarca,La Calera,Licitación pública Obra Publica,Obra,Seleccionado,399991302,372602079,40,3,Mes(es),2022-06-10T00:00:00.000
CO1.BDOS.2883781,LP-003-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE FUNZA - ALCALDÍA DE FUNZA,Cundinamarca,Funza,Licitación pública Obra Publica,Obra,Seleccionado,12098219638,12027067806,1,14,Mes(es),2022-06-09T00:00:00.000
CO1.BDOS.2926308,MA-SAMC-OPIT-SP-03-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE ANOLAIMA,Cundinamarca,Anolaima,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,95673259,6,3,Mes(es),2022-06-08T00:00:00.000
CO1.BDOS.2924766,SA-MC-007-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,217582690,217473370,1,3,Mes(es),2022-06-07T00:00:00.000
CO1.BDOS.2924648,SA-MC-006-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,217582690,217473370,1,3,Mes(es),2022-06-07T00:00:00.000
CO1.BDOS.2965257,IP-012-2022,ALCALDÍA MUNICIPAL DE MADRID CUNDINAMARCA,Cundinamarca,Madrid,Mínima cuantía,Obra,Seleccionado,20296923,15124345,2,20,día(s),2022-06-07T00:00:00.000
CO1.BDOS.2924344,SA-MC-005-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,215582240,215473661,1,3,Mes(es),2022-06-07T00:00:00.000
CO1.BDOS.2924483,SA-MC-009-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,217582690,217473370,1,3,Mes(es),2022-06-07T00:00:00.000
CO1.BDOS.2938704,SAMC-006-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE FUNZA - ALCALDÍA DE FUNZA,Cundinamarca,Funza,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,250000000,250000000,1,180,día(s),2022-06-07T00:00:00.000
CO1.BDOS.2924684,SA-MC-008-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,217582690,217473370,1,3,Mes(es),2022-06-07T00:00:00.000
CO1.BDOS.2900123,SA-AMS-2022-0006 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDÍA MUNICIPAL DE SOPO,Cundinamarca,Sopó,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,278945121,278777050,1,120,día(s),2022-06-06T00:00:00.000
CO1.BDOS.2942828,SAMC 08 DE 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,95372990,9,2,Mes(es),2022-06-06T00:00:00.000
CO1.BDOS.2932132,SA 2022-0590 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL FUSAGASUGA,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,415409721,415409721,2,3,Mes(es),2022-06-03T00:00:00.000
CO1.BDOS.2933062,SAMC-093-CENACINTELIGENCIA-2022  (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),CENTRAL ADMINISTRATIVA Y CONTABLE ESPECIALIZADA INTELIGENCIA,Cundinamarca,No Definido,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,145650812,145650812,4,5,Mes(es),2022-06-01T00:00:00.000
CO1.BDOS.2930250,LP-005-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Licitación pública Obra Publica,Obra,Seleccionado,2000000000,1911200639,56,4,Mes(es),2022-06-01T00:00:00.000
CO1.BDOS.2934462,LP 004-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE CHIA,Cundinamarca,Chía,Licitación pública Obra Publica,Obra,Seleccionado,1141957118,1082340439,10,4,Mes(es),2022-06-01T00:00:00.000
CO1.BDOS.2924374,SAMC-010-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE CAJICA,Cundinamarca,Cajicá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,200000000,200000000,3,3,Mes(es),2022-06-01T00:00:00.000
CO1.BDOS.2883863,LP-009-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,16528000000,16523436819,1,420,día(s),2022-06-01T00:00:00.000
CO1.BDOS.2898514,LP-007-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Licitación pública Obra Publica,Obra,Seleccionado,949094896,949094896,38,6,Mes(es),2022-05-31T00:00:00.000
CO1.BDOS.2846649,LP-002-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Licitación pública Obra Publica,Obra,Seleccionado,1637853146,1624060556,2,6,Mes(es),2022-05-31T00:00:00.000
CO1.BDOS.2891316,LP-002-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPIO DE CAJICA,Cundinamarca,Cajicá,Licitación pública Obra Publica,Obra,Seleccionado,5049340644,4799748580,14,7,Mes(es),2022-05-31T00:00:00.000
CO1.BDOS.2893403,LP-003-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPIO DE CAJICA,Cundinamarca,Cajicá,Licitación pública Obra Publica,Obra,Seleccionado,1057746911,1014377253,29,7,Mes(es),2022-05-31T00:00:00.000
CO1.BDOS.2928954,LP-004-2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Licitación pública Obra Publica,Obra,Seleccionado,668717686,639865170,18,5,Mes(es),2022-05-26T00:00:00.000
CO1.BDOS.2925603,SAMC 07 DE 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,95297556,10,60,día(s),2022-05-23T00:00:00.000
CO1.BDOS.2941948,MC-040-CENACTELEMATICA-2022,CENTRAL ADMINISTRATIVA Y CONTABLE TELEMATICA,Cundinamarca,Facatativá,Mínima cuantía,Obra,Seleccionado,55437180,55437180,17,7,Mes(es),2022-05-20T00:00:00.000
CO1.BDOS.2920901,SA 2022-0587 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL FUSAGASUGA,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,95100101,19,2,Mes(es),2022-05-18T00:00:00.000
CO1.BDOS.2919974,SAMC 010-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE RICAURTE,Cundinamarca,Ricaurte,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,118064906,118014026,1,2,Mes(es),2022-05-16T00:00:00.000
CO1.BDOS.2907204,LP 06 DE 2022 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Licitación pública Obra Publica,Obra,Seleccionado,597104895,595952778,1,4,Mes(es),2022-05-13T00:00:00.000
CO1.BDOS.2874310,LP-008-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,3777985075,3770308120,1,8,Mes(es),2022-05-13T00:00:00.000
CO1.BDOS.2935401,IPMC-FPS - 006 - 2022,FONDO DE PASIVO SOCIAL DE FERROCARRILES NACIONALES DE COLOMBIA ENTIDAD,Cundinamarca,No Definido,Mínima cuantía,Obra,Seleccionado,64968525,58670815,5,66,día(s),2022-05-13T00:00:00.000
CO1.BDOS.2916706,SAMC 009-2022 (Presentación de oferta),ALCALDIA MUNICIPIO DE RICAURTE,Cundinamarca,Ricaurte,Seleccion Abreviada Menor Cuantia Sin Manifestacion Interes,Obra,Seleccionado,2070000000,2066667000,2,5,Mes(es),2022-05-13T00:00:00.000
CO1.BDOS.2911104,PN ESCAR SA MC 024 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ESCUELA NACIONAL DE CARABINEROS POLICIA NACIONAL,Cundinamarca,Facatativá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,630000000,630000000,9,120,día(s),2022-05-12T00:00:00.000
CO1.BDOS.2878284,LP OBRA PUBLICA 003-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE LA CALERA CUNDINAMARCA,Cundinamarca,La Calera,Licitación pública Obra Publica,Obra,Seleccionado,1044203911,1002161549,46,6,Mes(es),2022-05-10T00:00:00.000
CO1.BDOS.2912107,SAMC-057 CENAC TOLEMAIDA-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),CENAC TOLEMAIDA,Cundinamarca,Nilo,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,335576184,335576184,21,0,día(s),2022-05-09T00:00:00.000
CO1.BDOS.2885645,LP-006-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Licitación pública Obra Publica,Obra,Seleccionado,400233768,400233759,1,6,Mes(es),2022-05-06T00:00:00.000
CO1.BDOS.2841989,LP-003-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,6746900000,6742839786,1,330,día(s),2022-05-06T00:00:00.000
CO1.BDOS.2906232,LP 001-2022 (Fase de Selección (Presentación de ofertas)),INSTITUTO MUNICIPAL DE VIVIENDA DE INTERÉS SOCIAL CAJICA,Cundinamarca,Cajicá,Licitación pública Obra Publica,Obra,Seleccionado,426123641,424370576,1,4,Mes(es),2022-05-06T00:00:00.000
CO1.BDOS.2865271,LP-007-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,42410549395,41759663461,1,16,Mes(es),2022-05-05T00:00:00.000
CO1.BDOS.2865271,LP-007-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,42410549395,41759663461,1,16,Mes(es),2022-05-05T00:00:00.000
CO1.BDOS.2865271,LP-007-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,42410549395,41759663461,1,16,Mes(es),2022-05-05T00:00:00.000
CO1.BDOS.2847316,LP-004-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Licitación pública Obra Publica,Obra,Seleccionado,744510408,744102652,1,4,Mes(es),2022-05-04T00:00:00.000
CO1.BDOS.2889653,022-00-K-ESUFA-GRUAL-2022 (Fase de Selección (Presentación de ofertas)),ESCUELA DE SUBOFICIALES  FAC CT ANDRES M DIAZ,Cundinamarca,No Definido,Licitación pública Obra Publica,Obra,Seleccionado,1246700000,1221048288,62,204,día(s),2022-05-04T00:00:00.000
CO1.BDOS.2900902,SAMC 06 DE 2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE VILLETA,Cundinamarca,Villeta,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000,94752200,10,2,Mes(es),2022-05-02T00:00:00.000
CO1.BDOS.2885368,LP 2022-0579 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL FUSAGASUGA,Cundinamarca,Fusagasugá,Licitación pública Obra Publica,Obra,Seleccionado,9125070710,9123209137,2,7,Mes(es),2022-04-29T00:00:00.000
CO1.BDOS.2845080,LP-005-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,7900000000,7888576434,1,10,Mes(es),2022-04-27T00:00:00.000
CO1.BDOS.2914703,IPMC-007-2022,CORPORACION PRODESARROLLO Y SEGURIDAD DEL MUNICIPIO DE GIRARDOT,Cundinamarca,Girardot,Mínima cuantía,Obra,Seleccionado,27614585,22108806,14,20,día(s),2022-04-26T00:00:00.000
CO1.BDOS.2841016,LP-OBRA PUBLICA-001-2022 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE LA CALERA CUNDINAMARCA,Cundinamarca,La Calera,Licitación pública Obra Publica,Obra,Seleccionado,1324000000,1229595722,38,7,Mes(es),2022-04-25T00:00:00.000
CO1.BDOS.2888927,SAMC-052 CENAC TOLEMAIDA-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),CENAC TOLEMAIDA,Cundinamarca,Nilo,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,379539940,191933180,13,6,Mes(es),2022-04-25T00:00:00.000
CO1.BDOS.2845261,LP-006-2022 (Fase de Selección (Presentación de ofertas)),CUNDINAMARCA-ALCALDIA MUNICIPIO MOSQUERA,Cundinamarca,Mosquera,Licitación pública Obra Publica,Obra,Seleccionado,4523715000,4514080319,1,390,día(s),2022-04-25T00:00:00.000
CO1.BDOS.2889554,SA-MC-013-2022 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPIO DE ZIPAQUIRA,Cundinamarca,Zipaquirá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,405000000,389244622,10,3,Mes(es),2022-04-22T00:00:00.000
