id_del_portafolio,referencia_del_proceso,entidad,departamento_entidad,ciudad_entidad,modalidad_de_contratacion,tipo_de_contrato,estado_del_procedimiento,precio_base,valor_total_adjudicacion,proveedores_unicos_con,duracion,unidad_de_duracion,fecha_de_publicacion_del,sobrecosto_pesos,ratio_sobrecosto,tiene_sobrecosto,duracion_dias_prevista
CO1.BDOS.8298249,SAMC-006-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL TAUSA,Cundinamarca,Tausa,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,50000000.0,49960810.0,3,60,día(s),2025-07-09,-39190.0,-0.0007838,0,60.0
CO1.BDOS.8382808,MC-027-2025,MUNICIPIO DE CAPARRAPI*,Cundinamarca,Caparrapí,Mínima cuantía,Obra,Seleccionado,12210709.0,12194751.0,1,1,Mes(es),2025-07-08,-15958.0,-0.0013068856198276448,0,30.0
CO1.BDOS.8288286,SAMC 009-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE GUACHETÁ,Cundinamarca,Guachetá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,375750974.0,375651180.0,1,3,Mes(es),2025-07-07,-99794.0,-0.0002655854725741842,0,90.0
CO1.BDOS.8281912,SAMC 004-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDÍA NEMOCON,Cundinamarca,Nemocón,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,397000000.0,396998774.0,4,4,Mes(es),2025-07-04,-1226.0,-3.08816120906801e-06,0,120.0
CO1.BDOS.8275403,SAMC-010-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE CHIA,Cundinamarca,Chía,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,499419690.0,434495130.0,5,3,Mes(es),2025-07-04,-64924560.0,-0.1300000006006972,0,90.0
CO1.BDOS.8264978,SAMC-016-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA DE SESQUILE,Cundinamarca,Sesquilé,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,361999258.0,354956624.0,7,120,día(s),2025-07-01,-7042634.0,-0.01945482993227572,0,120.0
CO1.BDOS.8258568,SAMC-014-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA DE SESQUILE,Cundinamarca,Sesquilé,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,70550190.0,65713125.0,2,150,día(s),2025-06-27,-4837065.0,-0.06856204072590025,0,150.0
CO1.BDOS.8272966,SAMC-013-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE COGUA,Cundinamarca,Cogua,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,5869625415.0,5869225366.0,1,157,día(s),2025-06-27,-400049.0,-6.815579729801208e-05,0,157.0
CO1.BDOS.8258756,SAMC 120-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),IDERF,Cundinamarca,Fusagasugá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,366103398.0,364634374.0,1,120,día(s),2025-06-26,-1469024.0,-0.004012593185491275,0,120.0
CO1.BDOS.8253934,SAMC 008 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE GUACHETÁ,Cundinamarca,Guachetá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,299763703.0,299759425.0,1,2,Mes(es),2025-06-26,-4278.0,-1.4271240837987646e-05,0,60.0
CO1.BDOS.8322489,MC-011-2025,MUNICIPIO DE COGUA,Cundinamarca,Cogua,Mínima cuantía,Obra,Seleccionado,39704168.0,38298818.0,5,1,Mes(es),2025-06-26,-1405350.0,-0.035395528247815194,0,30.0
CO1.BDOS.8252492,SAMC 006 2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE EL COLEGIO,Cundinamarca,El Colegio,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,100000000.0,100000000.0,3,3,Mes(es),2025-06-26,0.0,0.0,0,90.0
CO1.BDOS.8105950,SA-008-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE LA MESA,Cundinamarca,La Mesa,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,300000000.0,299848399.0,2,3,Mes(es),2025-06-25,-151601.0,-0.0005053366666666666,0,90.0
CO1.BDOS.8164526,SAMC-008-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE GUADUAS,Cundinamarca,Guaduas,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,150000000.0,149925000.0,1,2,Mes(es),2025-06-25,-75000.0,-0.0005,0,60.0
CO1.BDOS.8230309,SAMC-DC-CTCM-011-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),SENA GRUPO DE APOYO ADMINISTRATIVO INTERCENTROS CAZUCA,Cundinamarca,Soacha,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,850000000.0,839064539.0,2,180,día(s),2025-06-24,-10935461.0,-0.012865248235294117,0,180.0
CO1.BDOS.8179781,SAMC-016-2025 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),MUNICIPIO DE UBATE,Cundinamarca,Villa De San Diego De Ubate,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,300000000.0,299982999.0,3,3,Mes(es),2025-06-24,-17001.0,-5.667e-05,0,90.0
CO1.BDOS.8136418,LICITACION PUBLICA 004-2025 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE GIRARDOT,Cundinamarca,Girardot,Licitación pública Obra Publica,Obra,Seleccionado,1388812959.0,1313380898.0,90,8,Mes(es),2025-06-20,-75432061.0,-0.05431405324322006,0,240.0
CO1.BDOS.8284069,MC-027-2025,ALCALDIA MUNICIPAL DE GACHETA,Cundinamarca,Gachetá,Mínima cuantía,Obra,Seleccionado,39782008.0,39778731.0,2,30,día(s),2025-06-18,-3277.0,-8.237392139682843e-05,0,30.0
CO1.BDOS.8199599,SIP-LP-001-2025 (Fase de Selección (Presentación de ofertas)),ALCALDIA MUNICIPAL DE SUTATAUSA,Cundinamarca,Sutatausa,Licitación pública Obra Publica,Obra,Seleccionado,505706684.0,478752796.0,28,6,Mes(es),2025-06-18,-26953888.0,-0.05329944976562738,0,180.0
CO1.BDOS.8167094,FACATATIVA-SA-008-25 (Manifestación de interés (Menor Cuantía)) (Presentación de oferta),ALCALDIA MUNICIPAL DE FACATATIVA,Cundinamarca,Facatativá,Selección Abreviada de Menor Cuantía,Obra,Seleccionado,624000000.0,623966668.0,1,4,Mes(es),2025-06-18,-33332.0,-5.3416666666666666e-05,0,120.0
CO1.BDOS.8077638,LP 001-2025 (Fase de Selección (Presentación de ofertas)),MUNICIPIO DE GUACHETÁ,Cundinamarca,Guachetá,Licitación pública Obra Publica,Obra,Seleccionado,668503996.0,592761592.0,48,4,Mes(es),2025-06-17,-75742404.0,-0.11330134816426737,0,120.0
